2017.03.24 17:55:10.586 | < C | fff0 | fff3 | 017300000000000000000000000000 ( s             )
2017.03.24 17:55:10.930 | > R | 180f (Battery Service) | 2a19 (Battery Level) | 50 (P)
2017.03.24 17:55:11.125 | < C | 1805 (Current Time Service) | 2a2b (Current Time) | fe196820 (  h )
2017.03.24 17:55:11.386 | > R | fff0 | fff3 | 017300000000000000000000000000 ( s             )
2017.03.24 17:55:11.597 | < C | ffd0 | ffd6 | 0012345678 (  4Vx)
2017.03.24 17:55:11.639 | > N | ffd0 | ffd7 | 01 ( )
2017.03.24 17:55:11.772 | > R | 180a (Device Information) | 2a26 (Firmware Revision String) | 05290101201504282034 ( )     ( 4)
2017.03.24 17:55:12.042 | > R | ffd0 | ffd8 | 03 ( )
2017.03.24 17:55:12.773 | > R | ffd0 | ffda | 00 ( )
2017.03.24 17:55:14.702 | < C | ffd0 | ffd9 | 01 ( )
2017.03.24 17:55:14.744 | > N | ffd0 | ffda | 01 ( )
2017.03.24 17:55:17.908 | > N | ffd0 | ffda | 00 ( )
